FUNC __main__.runConvNet 100.0234 1525459638.3662 497.4648 1525459639.4602
CMDLINE C:\Users\mmitc\AppData\Local\Programs\Python\Python36\python.exe .\py\luft_bot.py
MEM 0.578125 1525459637.4778
MEM 19.156250 1525459637.5780
MEM 53.113281 1525459637.6783
MEM 61.304688 1525459637.7786
MEM 73.203125 1525459637.8788
MEM 74.492188 1525459637.9791
MEM 79.707031 1525459638.0799
MEM 87.046875 1525459638.1802
MEM 95.078125 1525459638.2809
MEM 103.226562 1525459638.3812
MEM 105.714844 1525459638.4815
MEM 107.824219 1525459638.5823
MEM 112.066406 1525459638.6825
MEM 114.796875 1525459638.7828
MEM 206.109375 1525459638.8831
MEM 268.460938 1525459638.9833
MEM 309.960938 1525459639.0836
MEM 361.230469 1525459639.1839
MEM 392.484375 1525459639.2841
MEM 440.359375 1525459639.3845
MEM 497.867188 1525459639.4848
MEM 394.660156 1525459639.5885
MEM 274.582031 1525459639.6928
